Component,Manufacturer Part Number,Manufacturer1 Part Number,References,Quantity Per PCB,Part,Value,Footprint,SMD,Mounted,Part Description,Pin Count,Part Number,Val
106,S25FL128SAGMFIR01,,U30,1,S25FL128SAGMFIR01-powerMG-AMC_FMC_Carrier-PcbDoc-rescue,S25FL128SAGMFIR01,SOIC127P1030X265-16N,,,,,,
107,SN74AVC2T245RSWR,,U8 U9 U15 U24 U25 U26 U33 U38,8,SN74AVC2T245RSWR,SN74AVC2T245RSWR,QFN40P140X180X55-10N,Yes,Yes,Dual-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs,10,SN74AVC2T245RSWR,
108,SN74LVC1G125DCKT,,U11,1,SN74LVC1G125DCKT-Standard_Logic-AMC_FMC_Carrier-PcbDoc-rescue,SN74LVC1G125DCKT,SOT65P210X110-5N,Yes,Yes,Single Bus Buffer Gate With 3-State Outputs,5,SN74LVC1G125DCKT,
109,TCA9548ARGER,,U5,1,TCA9548ARGER-Interface_Expansion-AMC_FMC_Carrier-PcbDoc-rescue,TCA9548ARGER,QFN50P400X400X100-25N-S220,,,,,,
110,TLV62565DBVT,,U22,1,TLV62565DBVT,TLV62565DBVT,SOT95P280X145-5N,Yes,Yes,"1.5A High Efficiency Step-Down Converter, Adjustable Output Voltage",5,TLV62565DBVT,
111,TPS51200DRC,,U31,1,TPS51200DRC-Regulator_Linear-AMC_FMC_Carrier-PcbDoc-rescue,TPS51200DRC,TEXAS_DRC (S-PVSON-N10),,,,,,
112,TPS62175DQC,,U18,1,TPS62175DQC,TPS62175DQC,SON50P200X300X80-11N-R94X250,Yes,Yes,"4.75-28VDC to 1-6VDC, 500mA Step-Down Converter With Sleep Mode",11,TPS62175DQC,
113,TXS0102DCUR,,U6,1,TXS0102DCUR,TXS0102DCUR,SOP50P310X90-8N,Yes,Yes,2-Bit Bidirectionnal Voltage-Level Translator for Open-Drain And Push-Pull Applications,8,TXS0102DCUR,
114,XC7A100T-2FGG484C,,U1,1,XC7A200T-FBG484-FPGA_Xilinx_Artix7-AMC_FMC_Carrier-PcbDoc-rescue,XC7A100T-2FGG484C,BGA484C100P22X22_2300X2300X240,,,,,,
115,XRP7724ILB-F,,U35,1,XRP7724ILB-F,XRP7724ILB-F,QFN50P700X700X80-45N-S520,Yes,Yes,Quad Channel Digital PWM/PFM Proggrammable Power Management System,45,XRP7724ILB-F,
116,LFVCXO026156,,Y3,1,OSC_20MHZ_IQD_LFVCXO026156,OSC_20MHZ_IQD_LFVCXO026156,OSC_IQD_CFPV-45,Yes,Yes,"3.3V, ±100ppm, 15pF, 0..70°C, HCMOS Tri-State Surface Mount, VCXO Voltage Controlled Oscillator (CFPV-45 Series)",6,OSC_20MHZ_IQD_LFVCXO026156,20MHz
